f_category,f_energy_kcal,f_fat_g,f_fatty_acids_sat_g,f_fatty_acids_monounsat_g,f_fatty_acids_polyunsat_g,f_cholesterol_mg,f_carbohydrates_g,f_sugars_g,f_starch_g,f_fibres_g,f_protein_g,f_salt_g,f_alcohol_g,f_water_g,f_vit_A_activity_re_µg,f_vit_A_activity_rae_µg,f_retinol_µg,f_beta_carotene_activity_µg,f_beta_carotene_µg,f_vit_B1_mg,f_vit_B2_mg,f_vit_B6_mg,f_vit_B12_µg,f_niacin_mg,f_folate_µg,f_panthotenic_acid_mg,f_vit_c_mg,f_vit_d_µg,f_vit_e_activity_mg,f_potassium_mg,f_sodium_mg,f_chloride_mg,f_calcium_mg,f_magnesium_mg,f_phosphorus_mg,f_iron_mg,f_iodide_µg,f_zinc_mg,f_selenium_µg,f_category_new
Meat and offal/Beef,105,2.0,0.9,0.9,0.1,35,0.0,0,0,0,21.9,0.1,0,75.1,7,6,5.0,10,10,0.1,0.13,0.19,2,4.6,10,1,0,0.0001,0.24,340,42.0,55,3,22,160,2.3,0.1,4.4,n.d.,meat
Meat and offal/Beef,138,3.9,1.4,0.6,0.8,354,5.3,0,0,0,20.5,0.3,0,69.1,4259,4179,4100,951,n.d.,0.28,2.88,0.83,65,14.7,220,7.3,23,1.7,0.75,290,120.0,90,7,17,360,7,13,4.8,n.d.,meat
Meat and offal/Beef,211,8.9,3.8,4,0.6,89,0.0,0,0,0,32.6,0.2,0,58.5,7,6,6,9,9,0.05,0.16,0.32,1.57,4.9,13.5,0.39,0,0.4,0.23,290,82.0,79,7.1,23,220,3,4.8,7,n.d.,meat
Meat and offal/Beef,154,7.5,3.2,3.4,0.5,56,0.0,0,0,0,21.6,0.2,0,69.7,8,7,6,10,10,0.06,0.12,0.45,1.41,3.86,10,0.31,0,0.5,0.26,310,61.0,50,5,17,160,2,3,4.4,n.d.,meat
Meat and offal/Beef,165,9.0,4,3.3,0.7,58,0.0,0,n.d.,0,21.1,0.1,0,68.6,7,6,5.0,10,10,0.04,0.13,0.41,1.4,n.d.,6,0.72,0,0.5,0.26,330,45.0,54,4.4,18,170,1.5,3,5,11,meat
Meat and offal/Beef,150,8.1,4,3.3,0.3,60,0.0,0,0,0,19.3,0.1,0,71.7,7,6,5.0,10,10,0.09,0.19,0.18,4.8,5.2,3,0.57,0,0.0001,0.46,300,45.0,54,6.8,18,160,2.1,0.2,5.7,n.d.,meat
Meat and offal/Beef,97,1.3,0.6,0.6,0.3,54,0.0,0,n.d.,0,21.2,0.1,0,74.2,7,6,5.0,10,10,0.01,0.12,0.42,1.4,n.d.,6,0.74,0,0.5,0.26,350,49.0,50,3.9,18,180,1.2,3,3.7,6,meat
Sausages and cold meats/Cooked sausage products,155,7.3,2.6,3.4,0.8,51,0.5,0,0,0,21.7,6.2,0,67.5,5,5,5,0,0,0.66,0.16,0.47,1,2.2,2,0.38,0,0.0001,0.2,240,2470.0,3240,32,54,98,1.5,3.2,1.1,n.d.,meat
Meat and offal/Beef,111,2.3,1.1,0.9,0.1,55,0.0,0,0,0,22.6,0.1,0,74,7,6,5.0,10,10,0.09,0.17,0.0001,2.2,4.5,9.9,0.59,0.0001,0.0001,0.0001,360,50.0,170,3.8,23,200,2.2,3,3.9,6.1,meat
Meat and offal/Beef,117,3.5,1.2,1.4,0.3,61,0.0,0,0,0,21.6,0.1,0,73.8,7,6,5.0,10,10,0.09,0.19,0.19,5,5.1,3,0.6,0,0.0001,0.31,300,50.0,55,4,19,210,1.8,0.1,5.8,n.d.,meat
Meat and offal/Beef,146,3.6,1.3,1.5,0.3,85,0.0,0,0,0,28.5,0.1,0,67.9,6,5,5,9,9,0.07,0.23,0.14,5.21,5.67,3.5,0.67,0,0,0.24,300,59.0,76,5,22,260,2.4,0.1,8.1,n.d.,meat
Meat and offal/Beef,135,3.3,1.2,1.4,0.3,78,0.0,0,0,0,26.3,0.1,0,70.4,6,5,4,8,8,0.07,0.21,0.13,4.81,5.23,3.3,0.62,0,0,0.22,280,54.0,71,4.6,21,240,2.2,0.1,7.4,n.d.,meat
Meat and offal/Beef,170,4.2,1.5,1.7,0.3,98,0.0,0,0,0,33.1,0.2,0,62.7,7,6,5,10,10,0.08,0.27,0.16,6.05,6.58,4.1,0.77,0,0,0.28,350,69.0,89,5.8,26,300,2.8,0.2,9.4,n.d.,meat
Meat and offal/Beef,196,13.0,4.7,6,1.1,108,3.7,0,0,0,16.0,0.2,0,66.4,16,14,12,24,24,0.13,0.29,0.13,5,4.6,7,2,3,0.0001,0.26,260,80.0,13,10,18,160,3,2.3,2.9,n.d.,meat
Alcoholic beverages/Beer,39,0.0,0,0,0,0,7.4,7.1,0,0,0.2,0.0,1.3,91.1,0,0,0,0,0,0,0.02,0.02,0.01,0.27,2.1,0.01,0,0,0,24,2.6,13,4.5,11,7,0.1,1.7,0,n.d.,alcoholic_beverages
Alcoholic beverages/Beer,40,0.0,0,0,0,0,2.0,2,0,0.2,0.6,0.0,4.1,92.5,0,0,0,0,0,0,0.04,0.09,0.1,0.77,5,0.09,0,0,0,43,1.4,11,3.6,11,16,0,0.0001,0.0001,n.d.,alcoholic_beverages
Alcoholic beverages/Beer,42,0.0,0,0,0,0,3.1,2.2,0,0,0.5,0.0,4,91.9,0,0,0,0,0,0,0.03,0.06,0.02,0.77,6.3,0.03,0,0,0,55,1.9,17,3.5,9.6,19,0,1.5,0,n.d.,alcoholic_beverages
Alcoholic beverages/Beer,23,0.0,0,0,0,0,4.9,2.6,0,0,0.4,0.0,0.3,93.3,0,0,0,0,0,0.01,0.01,0.04,0.02,0.65,5,0.08,0,0,0,34,1.5,19,4.8,6.2,11,0,1,8,n.d.,alcoholic_beverages
Vegetables/Fresh vegetables,46,0.1,0,0,0.1,0,8.4,8.4,0,2.5,1.5,0.1,0,86.2,1,1,0,7,7,0.02,0.04,0.04,0,0.23,83,0.15,5.5,0,0.05,410,58.0,82,17,21,45,0.9,0.4,0.4,n.d.,vegetables
Vegetables/Cooked vegetables (incl. cans),54,0.1,0,0,0.1,0,10.0,10,0,3,1.8,0.1,0,85.1,1,1,0,8,8,0.02,0.05,0.04,0,0.23,62.3,0.16,5.5,0,0.06,430,58.0,97,20,22,53,1,0.5,0.4,n.d.,vegetables
Vegetables/Fresh vegetables,20,0.3,0.1,0,0.2,0,2.6,2.5,0.1,2,0.8,0.0,0,92.9,42,21,0,250,217,0.03,0.01,0.28,0,0.1,27.6,0.13,126.6,0,0.85,160,6.0,19,6,6,15,0.3,2,0.2,n.d.,vegetables
Vegetables/Cooked vegetables (incl. cans),25,0.4,0.1,0,0.2,0,3.2,3.1,0.1,2.5,1.0,0.0,0,93,49,25,0,295,256,0.03,0.01,0.29,0,0.11,21.8,0.14,121.6,0,1.12,160,6.9,24,7.7,6.6,19,0.3,2.5,0.2,n.d.,vegetables
